id,section,question,expected,found_by_score_threshold,passed_retrieval_check,top_score,latency_s,top_chunk_preview,second_chunk_preview
1,factual,Is SharePoint connector allowed according to governance?,found,1,1,0.687550226224955,6.269,[Sheet: query (3)] Connector Name: SharePoint | Connector Type: Standard | Publisher: Microsoft | ARB Review Required: No | Pre Allowed Conn,[Sheet: query (3)] Connector Name: SharePoint | Connector Type: Standard | Publisher: Microsoft | ARB Review Required: No | Pre Allowed Conn
2,factual,Is ARB review required for GitHub connector?,found,1,1,0.596148669719696,1.008,[Sheet: query (3)] Connector Name: GitHub | Connector Type: Standard | Publisher: Microsoft | ARB Review Required: Yes | Item Type: Item | P,[Sheet: query (3)] Connector Name: GitHub | Connector Type: Standard | Publisher: Microsoft | ARB Review Required: Yes | Item Type: Item | P
3,factual,Is ARB review required for Microsoft Dataverse?,found,1,1,0.575714282010285,0.391,[Sheet: query (3)] Connector Name: Microsoft Dataverse | Connector Type: Premium | Publisher: Microsoft | ARB Review Required: No | Pre Allo,[Sheet: query (3)] Connector Name: Microsoft Dataverse | Connector Type: Premium | Publisher: Microsoft | ARB Review Required: No | Pre Allo
4,factual,What type of connector is Office 365 Users?,found,1,1,0.66222739299046,0.484,[Sheet: query (3)] Connector Name: Office 365 Users | Connector Type: Standard | Publisher: Microsoft | ARB Review Required: No | Pre Allowe,[Sheet: query (3)] Connector Name: Office 365 Users | Connector Type: Standard | Publisher: Microsoft | ARB Review Required: No | Pre Allowe
5,factual,Who is the publisher of SharePoint connector?,found,1,1,0.581805484944746,0.312,[Sheet: query (3)] Connector Name: SharePoint | Connector Type: Standard | Publisher: Microsoft | ARB Review Required: No | Pre Allowed Conn,[Sheet: query (3)] Connector Name: SharePoint | Connector Type: Standard | Publisher: Microsoft | ARB Review Required: No | Pre Allowed Conn
6,factual,Is the SharePoint connector marked as Non Blockable?,found,1,1,0.6598038863902,0.431,[Sheet: query (3)] Connector Name: SharePoint | Connector Type: Standard | Publisher: Microsoft | ARB Review Required: No | Pre Allowed Conn,[Sheet: query (3)] Connector Name: SharePoint | Connector Type: Standard | Publisher: Microsoft | ARB Review Required: No | Pre Allowed Conn
7,factual,What storage capacity does the Default environment provide?,found,1,1,0.617773019208133,0.388,"GB File Capacity, and 1 GB Log Capacity. This environment is not meant to host Business/critical Apps that provides services to multiple use",ed Environment to fulfil Business requirements. Please note the Application hosted at the Learning Environment will be deleted after 45 days
8,factual,How long are backups retained for Production environments?,found,1,1,0.654264369861149,0.363,"ironment. Select the solution you wish to promote to a different stage. In the pipeline section, click on the pipeline details to access the","GB File Capacity, and 1 GB Log Capacity. This environment is not meant to host Business/critical Apps that provides services to multiple use"
9,factual,How long are backups retained for DEV environments?,found,1,1,0.59721272562856,0.334,"ironment. Select the solution you wish to promote to a different stage. In the pipeline section, click on the pipeline details to access the",ed Environment to fulfil Business requirements. Please note the Application hosted at the Learning Environment will be deleted after 45 days
10,factual,Are audit logs enabled for Production?,found,1,1,0.591186572171863,0.398,b For all audited operations in a single environment - in the Audit Summary view. Audit logs can also be retrieved using the Web API or the ,"ironment. Select the solution you wish to promote to a different stage. In the pipeline section, click on the pipeline details to access the"
11,factual,How long are audit logs retained in Production?,found,1,1,0.593859517940321,0.385,"ironment. Select the solution you wish to promote to a different stage. In the pipeline section, click on the pipeline details to access the",b For all audited operations in a single environment - in the Audit Summary view. Audit logs can also be retrieved using the Web API or the 
12,factual,What is the purpose of the Learning environment?,found,0,0,0.481508479073401,0.404,ed Environment to fulfil Business requirements. Please note the Application hosted at the Learning Environment will be deleted after 45 days,s best practices for establishing and updating security roles/permissions in the system. It suggests configuring permissions for common role
13,factual,What happens to apps in the Learning environment after 45 days?,found,0,0,0.512830466796785,0.445,Q&As Where can I begin creating apps and flows to enhance my skills? The Learning environment is specifically designed for improving Power A,ed Environment to fulfil Business requirements. Please note the Application hosted at the Learning Environment will be deleted after 45 days
14,factual,Is personal information allowed in the Default environment?,found,0,0,0.483739302046918,0.524,It is not suitable for hosting business-critical apps serving multiple users; we strongly recommend using a Shared Environment instead. Apps,Shared environments are available to host citizen development applications utilizing no-code or low-code techniques. ENV-CRP-SHSD-US-Instanc
15,factual,Is Microsoft Loop connector allowed?,found,1,1,0.673031489433746,0.491,[Sheet: query (3)] Connector Name: Microsoft Loop | Connector Type: Standard | Publisher: Microsoft | ARB Review Required: Yes | Item Type: ,[Sheet: query (3)] Connector Name: Microsoft Loop | Connector Type: Standard | Publisher: Microsoft | ARB Review Required: Yes | Item Type: 
